timestamp,user_id,role,crypto_mode,vendor_reputation,geo_location,device_trust_level,resource_type,sensitivity_level,action,transaction_amount,frequency,payload_size,failed_login_attempts,geo_location_change,label
2025-09-23 10:00:00,user_0,employee,classical,,EU,medium,customer_kyc,high,write,0,18,3.68,0,0,0
2025-09-23 10:00:10,user_1,guest,pqc,,USA,low,transaction,low,write,0,27,14.19,0,0,1
2025-09-23 10:00:20,user_2,third_party,classical,65.0,EU,high,transaction,high,write,0,22,6.77,3,0,0
2025-09-23 10:00:30,user_3,employee,pqc,,India,high,backend_sync,high,write,0,18,9.82,0,1,0
2025-09-23 10:00:40,user_4,service,pqc,,EU,low,backend_sync,medium,write,0,19,11.09,0,1,0
2025-09-23 10:00:50,user_5,guest,pqc,,Unknown,medium,payroll,high,write,0,23,17.68,1,1,0
2025-09-23 10:01:00,user_6,admin,pqc,,EU,high,payroll,medium,delete,0,22,5.91,1,1,0
2025-09-23 10:01:10,user_7,admin,pqc,,USA,low,logs,low,delete,0,22,16.89,1,1,0
2025-09-23 10:01:20,user_8,third_party,pqc,65.0,EU,high,catalog,high,read,0,16,9.33,0,0,0
2025-09-23 10:01:30,user_9,auditor,pqc,,India,low,payroll,low,delete,0,26,2.31,0,0,0
2025-09-23 10:01:40,user_10,admin,classical,,India,high,customer_kyc,high,read,0,21,5.05,4,1,0
2025-09-23 10:01:50,user_11,employee,classical,,India,medium,transaction,low,read,0,24,12.04,0,1,0
2025-09-23 10:02:00,user_12,guest,pqc,,EU,high,transaction,low,update,1340,30,3.29,0,1,1
2025-09-23 10:02:10,user_13,guest,pqc,,India,medium,logs,high,write,0,14,7.99,2,1,0
2025-09-23 10:02:20,user_14,admin,classical,,India,high,backend_sync,low,update,0,21,8.13,1,1,0
2025-09-23 10:02:30,user_15,admin,pqc,,India,low,catalog,low,write,0,20,10.8,0,1,0
2025-09-23 10:02:40,user_16,employee,pqc,,India,low,backend_sync,low,update,0,17,10.7,0,0,0
2025-09-23 10:02:50,user_17,service,pqc,,EU,high,customer_kyc,low,read,0,17,17.85,1,0,0
2025-09-23 10:03:00,user_18,third_party,classical,92.0,USA,medium,backend_sync,low,update,0,15,13.13,1,0,0
2025-09-23 10:03:10,user_19,employee,pqc,,Unknown,high,customer_kyc,medium,update,0,27,0.98,2,1,0
2025-09-23 10:03:20,user_20,admin,pqc,,EU,medium,payroll,high,update,0,14,5.12,1,0,0
2025-09-23 10:03:30,user_21,third_party,classical,65.0,USA,medium,payroll,high,read,0,15,13.42,2,1,0
2025-09-23 10:03:40,user_22,auditor,pqc,,Unknown,low,logs,medium,read,0,21,14.61,3,0,0
2025-09-23 10:03:50,user_23,employee,classical,,India,high,customer_kyc,low,read,0,19,5.97,3,1,0
2025-09-23 10:04:00,user_24,guest,pqc,,India,high,payroll,medium,read,0,26,14.33,1,0,0
2025-09-23 10:04:10,user_25,admin,classical,,USA,medium,transaction,high,write,196439,20,9.69,1,0,1
2025-09-23 10:04:20,user_26,auditor,pqc,,EU,low,payroll,high,read,0,24,16.86,2,1,1
2025-09-23 10:04:30,user_27,admin,classical,,EU,low,customer_kyc,medium,delete,0,22,11.93,0,0,0
2025-09-23 10:04:40,user_28,admin,pqc,,Unknown,medium,catalog,high,write,0,23,21.51,1,1,0
2025-09-23 10:04:50,user_29,admin,pqc,,EU,medium,payroll,low,update,0,22,15.38,1,1,0
2025-09-23 10:05:00,user_30,guest,pqc,,India,low,transaction,low,write,0,24,3.18,1,1,1
2025-09-23 10:05:10,user_31,third_party,pqc,65.0,India,medium,transaction,high,update,0,20,2.04,2,0,0
2025-09-23 10:05:20,user_32,employee,classical,,India,high,transaction,low,read,183778,22,4.73,1,0,1
2025-09-23 10:05:30,user_33,auditor,classical,,USA,low,customer_kyc,high,update,0,19,7.94,1,1,1
2025-09-23 10:05:40,user_34,auditor,pqc,,Unknown,low,backend_sync,low,update,0,14,13.21,3,0,0
2025-09-23 10:05:50,user_35,auditor,pqc,,EU,medium,payroll,high,read,0,23,5.37,0,0,0
2025-09-23 10:06:00,user_36,guest,pqc,,Unknown,low,backend_sync,low,write,0,27,28.64,4,0,0
2025-09-23 10:06:10,user_37,auditor,pqc,,India,high,logs,high,update,0,13,13.86,2,0,0
2025-09-23 10:06:20,user_38,service,classical,,EU,low,transaction,high,read,117206,16,7.14,0,1,1
2025-09-23 10:06:30,user_39,admin,pqc,,India,medium,backend_sync,high,delete,0,17,3.04,3,1,0
