timestamp,user_id,role,crypto_mode,vendor_reputation,geo_location,device_trust_level,resource_type,sensitivity_level,action,transaction_amount,frequency,payload_size,failed_login_attempts,geo_location_change,label
2025-09-23 10:00:00,user_0,service,classical,,India,low,logs,high,write,0,23,8.83,0,0,1
2025-09-23 10:00:10,user_1,service,classical,,India,low,catalog,high,read,0,26,8.83,1,0,1
2025-09-23 10:00:20,user_2,employee,classical,,India,low,customer_kyc,low,delete,0,16,7.14,1,0,0
2025-09-23 10:00:30,user_3,third_party,pqc,65.0,India,high,backend_sync,medium,update,0,17,5.38,0,0,0
2025-09-23 10:00:40,user_4,employee,pqc,,India,high,catalog,high,update,0,17,17.33,0,1,0
2025-09-23 10:00:50,user_5,guest,pqc,,India,low,catalog,low,read,0,20,8.87,0,1,0
2025-09-23 10:01:00,user_6,admin,pqc,,USA,low,customer_kyc,low,read,0,21,7.0,1,0,0
2025-09-23 10:01:10,user_7,service,classical,,USA,high,customer_kyc,high,delete,0,14,8.54,0,1,0
2025-09-23 10:01:20,user_8,third_party,pqc,40.0,EU,medium,logs,high,update,0,27,3.67,1,0,1
2025-09-23 10:01:30,user_9,guest,classical,,EU,high,catalog,medium,update,0,27,15.46,1,0,0
2025-09-23 10:01:40,user_10,service,pqc,,India,high,transaction,medium,delete,0,15,4.95,0,0,0
2025-09-23 10:01:50,user_11,guest,pqc,,EU,low,catalog,medium,delete,0,25,2.08,0,0,0
2025-09-23 10:02:00,user_12,auditor,classical,,EU,low,payroll,low,update,0,20,12.91,2,1,0
2025-09-23 10:02:10,user_13,guest,pqc,,USA,high,customer_kyc,low,delete,0,18,14.44,2,0,1
2025-09-23 10:02:20,user_14,admin,classical,,EU,low,customer_kyc,low,delete,0,11,15.9,2,0,0
2025-09-23 10:02:30,user_15,third_party,pqc,40.0,Unknown,low,logs,low,read,0,14,5.51,2,0,1
2025-09-23 10:02:40,user_16,service,pqc,,USA,high,logs,medium,write,0,20,8.01,0,1,0
2025-09-23 10:02:50,user_17,admin,pqc,,EU,low,transaction,low,update,0,17,9.7,1,0,0
2025-09-23 10:03:00,user_18,auditor,classical,,India,low,logs,medium,read,0,19,5.96,4,0,0
2025-09-23 10:03:10,user_19,auditor,pqc,,EU,high,customer_kyc,low,read,0,20,7.49,1,0,0
2025-09-23 10:03:20,user_20,service,pqc,,India,low,customer_kyc,high,delete,0,13,16.37,1,0,1
2025-09-23 10:03:30,user_21,auditor,pqc,,EU,low,backend_sync,low,write,0,20,8.54,0,1,0
2025-09-23 10:03:40,user_22,third_party,pqc,92.0,Unknown,low,catalog,high,write,0,14,9.19,1,0,1
2025-09-23 10:03:50,user_23,auditor,classical,,EU,low,customer_kyc,high,read,0,32,12.02,1,0,1
2025-09-23 10:04:00,user_24,employee,classical,,India,medium,transaction,low,write,74001,17,10.3,0,0,0
2025-09-23 10:04:10,user_25,guest,classical,,Unknown,high,catalog,medium,write,0,17,22.32,0,0,0
2025-09-23 10:04:20,user_26,admin,pqc,,USA,medium,catalog,medium,read,0,14,15.71,0,0,0
2025-09-23 10:04:30,user_27,admin,pqc,,USA,high,customer_kyc,high,write,0,23,13.76,2,1,0
2025-09-23 10:04:40,user_28,employee,pqc,,EU,medium,catalog,high,read,0,13,5.05,0,1,0
2025-09-23 10:04:50,user_29,guest,classical,,India,low,payroll,high,read,0,21,7.17,0,0,1
2025-09-23 10:05:00,user_30,employee,pqc,,Unknown,medium,customer_kyc,medium,read,0,20,4.69,1,0,0
2025-09-23 10:05:10,user_31,third_party,classical,40.0,Unknown,medium,catalog,medium,delete,0,29,12.37,0,1,1
2025-09-23 10:05:20,user_32,employee,classical,,USA,high,transaction,low,read,197077,14,8.22,2,0,1
2025-09-23 10:05:30,user_33,admin,pqc,,EU,high,payroll,high,write,0,20,12.78,0,0,0
2025-09-23 10:05:40,user_34,guest,classical,,EU,medium,transaction,low,write,0,22,16.5,4,0,1
2025-09-23 10:05:50,user_35,third_party,pqc,92.0,USA,high,backend_sync,low,update,0,21,5.66,0,1,0
2025-09-23 10:06:00,user_36,third_party,classical,65.0,USA,medium,logs,high,read,0,22,10.87,2,0,0
2025-09-23 10:06:10,user_37,admin,classical,,USA,high,logs,high,write,0,23,3.92,0,1,0
