timestamp,user_id,role,crypto_mode,vendor_reputation,geo_location,device_trust_level,resource_type,sensitivity_level,action,transaction_amount,frequency,payload_size,failed_login_attempts,geo_location_change,label
2025-09-23 09:00:00,user_0,guest,classical,,India,low,backend_sync,medium,delete,0,26,5.56,2,0,0
2025-09-23 09:00:05,user_1,admin,pqc,,India,high,payroll,medium,write,0,15,18.22,2,1,0
2025-09-23 09:00:10,user_2,admin,classical,,Unknown,medium,logs,low,delete,0,25,2.71,1,1,0
2025-09-23 09:00:15,user_3,admin,pqc,,Unknown,medium,payroll,medium,write,0,17,9.62,4,0,0
2025-09-23 09:00:20,user_4,service,pqc,,USA,low,payroll,high,update,0,16,9.87,1,1,1
2025-09-23 09:00:25,user_5,service,pqc,,USA,low,catalog,low,update,0,18,21.15,0,0,0
2025-09-23 09:00:30,user_6,auditor,classical,,India,low,payroll,high,write,0,24,11.37,1,1,1
2025-09-23 09:00:35,user_7,service,classical,,USA,medium,customer_kyc,high,write,0,12,1.64,0,0,0
2025-09-23 09:00:40,user_8,guest,classical,,USA,high,logs,high,delete,0,22,9.69,0,0,0
2025-09-23 09:00:45,user_9,third_party,pqc,92.0,USA,high,customer_kyc,medium,delete,0,15,10.22,1,0,0
2025-09-23 09:00:50,user_10,third_party,pqc,92.0,India,medium,backend_sync,low,write,0,15,11.49,2,1,0
2025-09-23 09:00:55,user_11,service,classical,,EU,low,payroll,low,read,0,25,5.62,0,0,0
2025-09-23 09:01:00,user_12,service,classical,,Unknown,low,payroll,high,write,0,23,11.13,1,0,1
2025-09-23 09:01:05,user_13,service,pqc,,USA,medium,catalog,low,update,0,24,7.97,0,0,0
2025-09-23 09:01:10,user_14,admin,classical,,USA,medium,backend_sync,low,update,0,16,16.59,1,1,0
2025-09-23 09:01:15,user_15,employee,pqc,,Unknown,high,transaction,medium,update,162261,16,11.33,2,1,1
2025-09-23 09:01:20,user_16,admin,pqc,,EU,medium,catalog,low,write,0,18,14.51,0,1,0
2025-09-23 09:01:25,user_17,auditor,classical,,EU,medium,logs,medium,update,0,25,13.82,1,0,0
2025-09-23 09:01:30,user_18,auditor,pqc,,India,low,payroll,high,read,0,21,9.07,0,1,1
2025-09-23 09:01:35,user_19,auditor,classical,,India,low,logs,low,write,0,14,18.89,0,0,0
2025-09-23 09:01:40,user_20,third_party,classical,40.0,India,high,logs,low,read,0,29,4.22,1,0,1
2025-09-23 09:01:45,user_21,admin,classical,,India,high,customer_kyc,medium,update,0,21,8.68,1,1,0
2025-09-23 09:01:50,user_22,employee,pqc,,EU,low,payroll,medium,update,0,24,2.77,3,0,0
2025-09-23 09:01:55,user_23,auditor,classical,,EU,medium,payroll,high,read,0,26,17.57,2,0,0
2025-09-23 09:02:00,user_24,admin,classical,,EU,high,customer_kyc,low,write,0,16,8.73,3,1,0
2025-09-23 09:02:05,user_25,employee,pqc,,India,high,logs,high,delete,0,17,16.29,0,1,0
2025-09-23 09:02:10,user_26,admin,classical,,Unknown,medium,logs,medium,delete,0,22,12.06,1,1,0
2025-09-23 09:02:15,user_27,auditor,classical,,Unknown,high,catalog,medium,delete,0,17,4.92,0,0,0
2025-09-23 09:02:20,user_28,guest,pqc,,Unknown,high,payroll,high,read,0,17,19.35,1,0,0
2025-09-23 09:02:25,user_29,guest,classical,,EU,medium,transaction,medium,write,79441,17,18.06,0,0,1
2025-09-23 09:02:30,user_30,third_party,pqc,65.0,India,medium,transaction,medium,update,156161,18,7.48,2,1,1
2025-09-23 09:02:35,user_31,third_party,pqc,92.0,Unknown,medium,backend_sync,high,delete,0,21,10.36,2,0,0
2025-09-23 09:02:40,user_32,guest,pqc,,India,high,transaction,high,read,0,26,1.81,0,0,1
2025-09-23 09:02:45,user_33,employee,classical,,EU,high,transaction,low,read,0,11,7.41,2,1,0
2025-09-23 09:02:50,user_34,third_party,classical,92.0,EU,high,transaction,high,update,67233,20,13.06,1,1,0
2025-09-23 09:02:55,user_35,guest,classical,,EU,high,logs,high,update,0,19,12.21,1,1,0
2025-09-23 09:03:00,user_36,service,pqc,,USA,low,payroll,low,write,0,17,19.49,2,0,0
2025-09-23 09:03:05,user_37,service,pqc,,India,low,catalog,medium,update,0,23,15.78,2,1,0
2025-09-23 09:03:10,user_38,guest,pqc,,EU,high,catalog,high,write,0,23,12.3,2,0,0
2025-09-23 09:03:15,user_39,auditor,pqc,,USA,low,customer_kyc,low,write,0,14,11.29,2,1,0
2025-09-23 09:03:20,user_40,admin,pqc,,Unknown,high,customer_kyc,high,read,0,27,11.66,0,0,0
2025-09-23 09:03:25,user_41,auditor,pqc,,Unknown,high,payroll,low,delete,0,15,13.29,0,1,0
2025-09-23 09:03:30,user_42,admin,classical,,India,low,catalog,medium,write,0,12,9.12,1,1,0
