timestamp,user_id,role,crypto_mode,vendor_reputation,geo_location,device_trust_level,resource_type,sensitivity_level,action,transaction_amount,frequency,payload_size,failed_login_attempts,geo_location_change,label
2025-09-23 09:00:00,user_0,third_party,classical,65.0,India,medium,backend_sync,high,delete,0,21,3.67,0,1,0
2025-09-23 09:00:05,user_1,auditor,pqc,,India,medium,transaction,high,read,78663,20,14.11,1,1,0
2025-09-23 09:00:10,user_2,admin,classical,,EU,medium,backend_sync,high,write,0,21,6.3,2,0,0
2025-09-23 09:00:15,user_3,service,pqc,,Unknown,medium,catalog,low,update,0,20,2.64,1,0,0
2025-09-23 09:00:20,user_4,third_party,pqc,65.0,EU,low,logs,medium,update,0,14,17.38,0,0,0
2025-09-23 09:00:25,user_5,guest,pqc,,India,low,catalog,low,update,0,33,18.8,2,1,0
2025-09-23 09:00:30,user_6,admin,pqc,,India,low,transaction,medium,read,0,28,8.87,0,1,0
2025-09-23 09:00:35,user_7,auditor,classical,,USA,high,logs,medium,read,0,10,4.64,0,1,0
2025-09-23 09:00:40,user_8,auditor,classical,,EU,low,transaction,medium,update,158959,28,18.92,0,0,1
2025-09-23 09:00:45,user_9,service,pqc,,EU,high,customer_kyc,medium,write,0,14,11.28,1,0,0
2025-09-23 09:00:50,user_10,employee,pqc,,EU,high,transaction,low,read,0,17,10.43,1,0,0
2025-09-23 09:00:55,user_11,service,pqc,,USA,high,backend_sync,low,write,0,13,10.98,3,0,0
2025-09-23 09:01:00,user_12,third_party,pqc,40.0,USA,high,transaction,low,update,0,15,13.71,1,1,1
2025-09-23 09:01:05,user_13,employee,classical,,EU,low,backend_sync,high,read,0,17,13.52,1,1,1
2025-09-23 09:01:10,user_14,service,classical,,India,medium,transaction,high,read,1885,15,3.38,0,1,0
2025-09-23 09:01:15,user_15,employee,pqc,,USA,high,payroll,medium,write,0,19,15.12,1,1,0
2025-09-23 09:01:20,user_16,auditor,pqc,,India,high,logs,low,delete,0,20,5.55,1,0,0
2025-09-23 09:01:25,user_17,service,classical,,India,low,transaction,medium,update,9075,21,7.07,0,0,0
2025-09-23 09:01:30,user_18,auditor,classical,,Unknown,high,transaction,medium,delete,141262,19,0.67,1,1,1
